Tweets,AuthorID,label,data_type
FAMILY!!! 🤎 https://t.co/WTx3ZYpwaB,23083404,0,train
Here’s to all the fathers that didn't have the blueprint but figured it out along the way!! 🤎🙏🏾👑 https://t.co/ZCfaW58t7F,23083404,0,train
@Lakers 💪🏾👑 https://t.co/FUhMRnoWnz,23083404,0,train
You had a huge impact on me and my family and I’m so appreciative of you. A great person and journalist. Rest In Paradise Grant Wahl. 🙏🏾🤎👑 https://t.co/rvFDGEA9fz,23083404,0,train
@RicFlairNatrBoy ALL LOVE Nature Boy!!!! You're such a LEGEND MAN!!! Continue of blessings sent to you and the family!! 🙏🏾✊🏾🤎👑,23083404,0,train
Happy Bday Larry Legend!!!!!! ♾️ GOATED!! BIG 33 🍀,23083404,0,train
TB12 https://t.co/aKcYaMqyyg,23083404,0,train
@CoachMcGuff Very welcome Coach!! Best of luck to you and your hard working ladies this year and beyond! Always got my support!! O-H.. #GoBucks🌰,23083404,0,train
Let’s Goooooooooooooo!!! 👑💪🏾⚽️ @FortniteGame #BoundByBattle #EpicPartner https://t.co/m2pHiwdY9x https://t.co/qapfT5lyaf,23083404,0,train
@D19J 🤣🤣🤣🤣🤣🤣🤣,23083404,0,train
H.I.M. That's all https://t.co/qluQv48Vfp,23083404,0,train
"Man I watch NFL Live almost every day cause I simply love football but I watch it even more when @mspears96 on there! Dude IQ of the sport is dope, funny as hell and you can tell he just being himself! He Don't be hating, just be speaking the game and its facts",23083404,0,train
@USMNT CONGRATS MEN on advancing!! Keep going!! 👏🏾👏🏾👏🏾👏🏾 🇺🇸,23083404,0,train
KD NOT NICE!!! 🤣🤣🤣🤣🤣🤣. SHEESH,23083404,0,train
"""You cats was never them dudes! LIKE NOT EVER! Not even when you was 2-  @CurrenSy_Spitta 😤😤😤 PREACH 🗣️🗣️🗣️",23083404,0,val
WOW!! Let’s Go!!! 😤💪🏾🪓 @PlayStation @SonySantaMonica https://t.co/HkQevE5lXY https://t.co/RzCjleabC2,23083404,0,train
Welcome to the family @swipathefox!!! #KlutchGene https://t.co/vPJF7CYg4J,23083404,0,val
Just a thought 💭,23083404,0,train
@kylekuzma @ivicazubac FACTS!!! So underrated. ZUUUUUUUUU 🗣️🗣️🗣️🗣️🗣️,23083404,0,train
Man Seth Curry so NICE!!!!,23083404,0,train
Good Ole Old Fashion A** Kicking!!!,23083404,0,train
@CamKnows_ It's insane that he has to Cam! 🤦🏾‍♂️. Lol,23083404,0,train
The ABSOLUTE BEST WR in the country!! #18 Jr,23083404,0,train
Let’s Goooooooooooooo BUCKS 🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️,23083404,0,train
Can't believe I'm not available to be at this game today!! This is insane 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️😩😩😩,23083404,0,train
John Madden we’re ALL thankful for you!!! 🐐,23083404,0,train
@JJettas2 is RIDICULOUS out there man!!!,23083404,0,train
Let's Go!!!!!! Had to ❌ake sure ❌y boys had that 🔥🔥🔥🔥🔥 for the weekend!! O-H!! #GoBucks https://t.co/n35ddwDBBz,23083404,0,train
All about that whole body hydration!! @LIFEWTR 💧💪🏾👑 #LifeWTRpartner https://t.co/zXRw9ABIzx,23083404,0,train
@RomeTrav @SencireH Yessir!!! Let's Go nephew!!! @SencireH,23083404,0,val
@leap36 @NFLonPrime @Titans @packers @PrimeVideo My fault my guy! They made me do it!! 🤣🤣🤣🤣🤣,23083404,0,train
@AstronautKI YO!!! So damn 🔥🔥🔥🔥🔥🔥🔥. Just listened to it 5x back to back to back to back to back,23083404,0,train
CONGRATULATIONS QUEEN KAREN BASS!!!! 👏🏾👏🏾👏🏾🙌🏾🙌🏾🙌🏾🙌🏾🤎🤎🤎 https://t.co/qmEwZiosDT,23083404,0,train
WOW!!! Paul Allen is a National Treasure!! 🔥🔥🔥🔥🔥🔥🔥🗣️🗣️🗣️🗣️ https://t.co/goOURvyHi4,23083404,0,train
"It started in Crenshaw, now the marathon continues. 🏁 Stay tuned for #HUSSLEDoc 💙🙏🏾 @makespringhill #LegendsNeverDie👑  https://t.co/wBKZnikDQ8",23083404,0,train
Prayers to @UVAFootball program and the families who lost their Young King's!! Sad Sad Sad 😢,23083404,0,val
By FAR the game of the YEAR that was!! WOW WOW WOW,23083404,0,train
LONG LIVE THE 🚀 MAN!!! Sky high YOUNG KING 👑 TAKEOFF 🙌🏾🙌🏾🙌🏾🤎 https://t.co/BwIgezCCHh,23083404,0,train
A REAL LIFE 🎥 https://t.co/x67y91ftxd,23083404,0,train
"@CuffsTheLegend FACTS!!! One of my fav joints he's done!! ""I do this for the love and it's free of charge, I don't need to be in jail to be behind bars""",23083404,0,train
@RomeTrav https://t.co/ZPboRfevxD,23083404,0,train
the floor I think is excessive IMO. He’s not the person that’s being portrayed of him. Anyways back to my rehab session.,23083404,0,train
💭 I told you guys that I don’t believe in sharing hurtful information. And I’ll continue to be that way but Kyrie apologized and he should be able to play. That’s what I think. It’s that simple.  Help him learn- but he should be playing. What he’s asked to do to get back on,23083404,0,train
Kratos fit on the court? For sure…. 😤 AND at Bronny’s games!! 🤷🏾‍♂️😜 The axe is going on the road too. 👑 #GodofWarRagnarok #PlayStationPartner @PlayStation https://t.co/ytKzreBNAy,23083404,0,train
@BJwhite @Shalynda_jai_ I 🫡 that Black Queen!! She handled that shit like a CHAMP!!! 👏🏾👏🏾👏🏾👏🏾👏🏾,23083404,0,train
"I’m gone be honest 20 mins into it, I just had to stop watching “UNTOLD” OPERATION FLAGRANT FOUL. Especially with having a  game tomorrow and I probably won’t finish it until i retire. Can’t have my mind feeling a way!",23083404,0,train
KD ain't right!!! KILLER 😤😤😤😤,23083404,0,train
Now when I need the rest I can't SLEEP!! 🧠 🏎️,23083404,0,train
@CuffsTheLegend INSANE bro!!! Iconic for sure,23083404,0,train
@kylekuzma Unfortunately they won't my brother! You know how it goes. 🤦🏾‍♂️. Miss you bro!,23083404,0,train
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥For #TheTheYoungMenAtAKRON Go Zips 🦘 https://t.co/iVB0svW2sX,23083404,0,train
Who knew all I needed was a LeBreakthrough. 🤯🤣 Appreciate my #GodofWarRagnarok support team @BenStiller and John Travolta! 🙏🏾👑 @PlayStation #PlayStationPartner https://t.co/WhKJtqSek3,23083404,0,train
@BrysonAdair https://t.co/B8CJ4ZzgBy,23083404,0,train
SAY IT AGAIN AND AGAIN 🗣️🗣️🗣️🗣️ https://t.co/paiJXZIatd,23083404,0,train
JT TUIMOLOAU!!!! Say that name again and again!,23083404,0,train
O-H…..🌰,23083404,0,train
"I dont know Elon Musk and, tbh, I could care less who owns twitter.  But I will say that if this is true, I hope he and his people take this very seriously because this is scary AF.  So many damn unfit people saying hate speech is free speech. https://t.co/Sy0jvXIBnC",23083404,0,val
"NFL Fans, I got something special coming for y'all!! Announcement coming on
IG Live at some point today! 👑🏈💈",23083404,0,train
Jordan Poole so COLD!!! 🥶,23083404,0,train
*Simons. My bad bruh! Anyways you are 🔥🔥🔥🔥🔥🔥🔥,23083404,0,train
Anfernee Simmons is on 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,23083404,0,train
🌬️🙌🏾👑 https://t.co/HVXlnG2Elg,23083404,0,train
VINTAGE ⛄️ is BACK!!! SNOWFALL,23083404,0,train
R.I.P.  Tony man!! Great ref but greater dude! Loved when I ran on the court for warmups and he would be on the game that night! Your smile &amp; laugh will be missed tremendously here in our sport! 🙏🏾🤎👑 https://t.co/JI23eZczTi,23083404,0,train
FACTS!!!! Lil Luke speaking gospel!! DRILLED OUT 🗣️🗣️🗣️🗣️ https://t.co/MP8x7xmrSC,23083404,0,train
Appreciate the love!! That's so 🔥🔥🔥🔥🔥🔥🔥🔥🔥. Been a helluva ride up to this point. More to come! #Year20 👑 https://t.co/WJNSi9YcXU,23083404,0,train
👑 Vs 🕰️ https://t.co/auGs2ktAeI,23083404,0,val
@D19J 12,23083404,0,train
All in the family! 🤴🏾 @beatsbydre #JamesGang👑 https://t.co/pGEP8G7t04,23083404,0,train
@jason_blum Jason you guys always kill it man! When I see “Blumhouse” come across the screen the wife and I both know it’s ON &amp; POPPIN! 😱😱😱😱🤣🤣🤣,23083404,0,train
Halloween Ends was so GOOD!!!! @jamieleecurtis you're such a LEGEND &amp; BADASS #MichaelMyers 🔪🩸,23083404,0,val
Hey @EAMaddenNFL when I get a pick why can't I choose to take the gang to the end zone with me?? 🤷🏾‍♂️😁,23083404,0,train
@AstronautKI So GOOD so far G!!!,23083404,0,train
WOW!! WHAT A GAME!!!! #BAMAvsTEN,23083404,0,train
@DCarter12_ Happy Gday Cuzzo!!! 🙏🏾,23083404,0,train
He's really H.I.M. Keep working Young 🤴🏾!! https://t.co/XKo47Mhytc,23083404,0,train
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣!!! I swear that me with Vannah! https://t.co/8D07tj4qrN,23083404,0,train
Sheesh Cooper Kupp!! YAC to the house!!,23083404,0,train
😤😤😤😤😤😤 https://t.co/IHZZ6JBnqI,23083404,0,train
🔥🔥🔥🔥🔥🔥🔥 https://t.co/qpSObUKkyh,23083404,0,train
#Browns  Keep going! Great start! Chubbs then Cooooooop.,23083404,0,train
That's so 🔥🔥🔥🔥🔥🔥!! SHEP A LEGEND! 🫡 https://t.co/PVH8zD4I60,23083404,0,train
That was good but that last one was SICK!!!! He toooooooo TOUGH 💪🏾 https://t.co/46rKGPuX59,23083404,0,train
If y'all haven't checked it out yet don't wait any longer! It's like THAT!! Let me know what y'all think afterwards! @netflix #TheRedeemTeam 🥇🇺🇸🫡 https://t.co/VttOPypft5,23083404,0,train
MY GOODNESS!! This Herbo/Benny The Butcher track is INSANE!! 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥  @gherbo @BennyBsf 🫡,23083404,0,train
🤷🏾‍♂️🤣🤣🤣🤣🤣. Ace Rothstein vibes https://t.co/OUXTIupTsZ,23083404,0,train
🔥🔥🔥🔥🔥🔥🔥 https://t.co/cARAZpGvhX,23083404,0,train
Thanks for having me!! Love y'all 🤎👑 https://t.co/LQo2gN75Wg,23083404,0,train
Had to jump on with that UNBELIEVABLE cast there!! Thanks for having me! 🤎🙏🏾👑 https://t.co/wY2Sd2b8nl,23083404,0,train
What a ball by 🐐 too! Sheesh,23083404,0,train
MIKE EVANS!!!! Bro stop it!!,23083404,0,train
That play was INSANE!!! Wow,23083404,0,val
My DOG Mike Evans!! 👏🏾👏🏾,23083404,0,train
Patty Mahomes 🤣🤣🤣🤣🤣. So damn good!! 🪄,23083404,0,train
I LOVE DEVIN WHITE!!!!! ANIMAL 💪🏾,23083404,0,train
OLAVE!! O-H.... TD!,23083404,0,train
🍯 Badger Pick!! 🔥,23083404,0,train
Aye Miyan Williams go sit down somewhere!! Hahahaha! 70 to the house! 4TDs. O-H......#GoBucks🌰,23083404,0,train
Year 20 is upon us ALL! #ThekidfromAKRON🤴🏾 https://t.co/sMVMg6zxl8 https://t.co/lhfrg9OybT,23083404,0,train
@dclane23 Would be 🔥🔥🔥🔥. Wish I was in town for it,23083404,0,train
@djmeel @pr_RWTW @RAVIEB 🤣🤣🤣🤣🤣 https://t.co/VtxLOnj3JV,23083404,0,train
@CuffsTheLegend FACTS!!!! He never misses. That boy talented as hell man! Bangers for days!!,23083404,0,train
@CuffsTheLegend 🤣🤣🤣🤣🤣🤣🤣,23083404,0,val
@WORLDWAD @n_velca Congrats bro!! Where you at? Best of luck to you! 🙏🏾✊🏾👑,23083404,0,train
#ThekidfromAKRON🤴🏾 https://t.co/SXUDM3lVVU,23083404,0,val
OMG CEEDEE 🐑!!!!!!!!! WOW,23083404,0,train
SAQUON IS BACK!!!!!!,23083404,0,train
Yessir!!! 🙌🏾🙌🏾🙌🏾 https://t.co/TPpT5KyovI,23083404,0,train
🙌🏾🙌🏾🙌🏾 LFG!!!!!! 🔥🔥🔥🔥🔥🔥🔥 https://t.co/TJePWYyGo5,23083404,0,train
CJ just stop it man!!!! 🎯🎯🎯🎯🎯!!! #HeismanStroud O-H...🗣️🗣️🗣️🗣️🌰,23083404,0,val
MOOD 🤷🏾‍♂️! O-H...🗣️🗣️🗣️🗣️🗣️ #GoBuckeyes🌰 https://t.co/qJwBrg0FY4,23083404,0,val
Get these boys off the 🎮!! Past them now! O-H….. 🗣️🗣️🗣️🗣️🌰,23083404,0,train
Another 1! *Khalid voice. O-H……. 🗣️🗣️🗣️🗣️🗣️🗣️,23083404,0,train
And by the way these BLACK UNIS ARE SICK!!!!!! 🔥🔥🔥🔥🔥🔥🔥🔥,23083404,0,train
7-0! O-H..🗣️🗣️🗣️🗣️,23083404,0,train
Do I have college eligibility if I went to play another sport besides basketball? How does that rule work?,23083404,0,train
"""Y'all don't know about my Biggie wars! Who you think 'Kick In The Door' was for but that's my Heart! Y'all still trippin off that Jigga 💩!"" Literally one of my fav songs he's ever done! PERIOD https://t.co/pCevDONqgU",23083404,0,train
Cause he LIKE THAT!!!!! CHUBB is TOO TOUGH!! 💪🏾 https://t.co/kw3S56zgX6,23083404,0,val
STAYMELO!!!!! ✊🏾 https://t.co/l7ebsmbT01,23083404,0,train
🙏🏾🤞🏾.......,23083404,0,train
BALL GAME!! #browns,23083404,0,train
AYYYYYYEEEEEE @NickChubb!! LET'S GO,23083404,0,train
Yessir!!!! Cooooooooopppppp TD! #Browns,23083404,0,train
🤝🏾 YNWA!! ❤️ https://t.co/qNsjhk0vCD,23083404,0,train
I’m so proud to be a part of a league committed to progress! https://t.co/c89Ad7AKZO,23083404,0,train
Cooking 81!! My goodness what a catch,23083404,0,train
Couldn't be prouder!! Well deserved! Now keep going up! 🙏🏾✊🏾🤎👑 https://t.co/t2U6icTrsY,23083404,0,train
"behavior. I love this league and I deeply respect our leadership. But this isn’t right. There is no place for misogyny, sexism, and racism in any work place. Don’t matter if you own the team or play for the team. We hold our league up as an example of our values and this aint it.",23083404,0,val
"Read through the Sarver stories a few times now. I gotta be honest…Our league definitely got this wrong. I don’t need to explain why. Y’all read the stories and decide for yourself. I said it before and I’m gonna say it again, there is no place in this league for that kind of",23083404,0,train
🤴🏾👸🏾🤴🏾🤴🏾👸🏾 James Gang at home!!! @VanityFair 📸🤎 https://t.co/rlPEYiCTLJ https://t.co/kA89DHV8sx,23083404,0,train
THE REDEEM TEAM!!!! 🥇🇺🇸 https://t.co/8YPHLI7IyF,23083404,0,train
HERE WE GO!!!!! Best of luck Gang all season long. To great health throughout this journey ahead! 🙏🏾✊🏾🤎👑 https://t.co/kvxXf4aZX9,23083404,0,train
He definitely setting the tone as well with that gift.,23083404,0,train
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣!!!! Coach Tomlin hilarious for that https://t.co/vTAjRMNj7i,23083404,0,train
@CuffsTheLegend Please don't do this!! 🤦🏾‍♂️!! Josh Allen is so GOOD man!!,23083404,0,train
Young 🤴🏾!!! It's all about the process. Put the work in and you'll see the results. Then put more work in! https://t.co/ANzM16TEnd,23083404,0,train
KEEP GOING!!!!! #StriveForGreatness🚀,23083404,0,train
CONGRATS Young King!!! You earned it! @FTiafoe 🙏🏾✊🏾🤎👑 https://t.co/QQ0Jn7Lotp,23083404,0,val
WOWWWWWWWWWWWWW!!!!!!!!! BLOCKED #FSUvsLSU,23083404,0,train
This game is 🥜🥜🥜🥜🥜 #FSUvsLSU,23083404,0,train
Man what!!! 🤣🤣🤣🤣🤣. Ok I’m done now. Why a pitch?? 🤷🏾‍♂️,23083404,0,train
*It'll,23083404,0,train
Well spoke too soon! Damn kid. It's ok. I'll make you stronger. Hold ya Head #8,23083404,0,train
This game actually is really good going down the stretch #LSUvsFSU,23083404,0,train
So TOUGH!!!!! 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥. Hate it was Vs FAMU though but boy he was clicking on all cylinders out there!! https://t.co/1UU7HlUZiD,23083404,0,train
Becky Hammond late game ATO's is on fkn POINT today!! WOW WOW WOW,23083404,0,train
BANG BANG BANG *Mike Breen voice 🗣🗣🗣🗣🗣🗣🗣 Sue Bird!,23083404,0,train
Man LVA vs SEA going at it!!!!! #WNBAPlayoffs,23083404,0,train
@EAMaddenNFL @NFL https://t.co/r8dVUnmr3X,23083404,0,train
O-H 🗣🗣🗣🗣🗣🗣,23083404,0,train
I-O #GoBuckeyes🌰 https://t.co/5dIh9yBLEg,23083404,0,train
#SerenaWilliams THANK YOU 🐐!! You’re so damn DOPE!! 👏🏾👏🏾👏🏾🙌🏾🙌🏾🤎 https://t.co/5tSbzz7UHw,23083404,0,train
We going to keep pushing those chips in @mavcarter 🎯!! #JustkidsfromAKRON👑 https://t.co/FkpswTfWb6,23083404,0,train
@CuffsTheLegend He's truly so misunderstood! I love seeing his growth as well throughout the years! Always believed and knew he was so much more and deeper than just a phenomenal basketball player! #TheShop @uninterrupted,23083404,0,val
@DrewBarrymore You're such a WONDERFUL human being and I love your journey of getting to this point where you stand today!! Thank you for being vulnerable but at the same time so DAMN STRONG too! Love you! 🙏🏾🤎✊🏾👑 https://t.co/k50LR4MeEN,23083404,0,val
@CuffsTheLegend SO TOUGH!!!!! Super Dope,23083404,0,train
To be continued!! 🙏🏾😉👑 https://t.co/awOo7XS2Jf,23083404,0,train
@sc @uninterrupted Hahaha!!!!,23083404,0,train
Listen! Then listen again to make sure you got the point. HOV DID!!!! And so did the reporter! 🐐 TALK https://t.co/ni8vSyjOAY,23083404,0,train
"🤯🤯😤😤 WHOA!!!! Just kids from Akron!!!! 🤴🏾🤴🏾🤴🏾🔥🔥 The Chosen One x The Chosen Sons #JamesGang👑 #TheLegecyContinues    📸 Jeffery A. Salter @SInow
 
https://t.co/m7YE9nHthw https://t.co/ShWIvGWO86",23083404,0,val
And I mean ALWAYS!!!!!! Don't ever question it bro!! Proud of you @JohnWall https://t.co/KtDBmzvRgK,23083404,0,train
Keep that serve going 🐐!!!! @serenawilliams #USOpen2022,23083404,0,train
"Vancouver!! Thank you for the hospitality over the weekend. 1st time in your beautiful, wonderful city! @kendricklamar you’re 1 of a kind my brother! SPECIAL show by a SPECIAL person! Appreciate the love! 🙏🏾✊🏾🤎👑",23083404,0,val
@babykeem is a FLAT OUT ⭐️!!!! He got that “IT” factor.,23083404,0,val
⏳👑 https://t.co/LCxUpHUkY1,23083404,0,train
"@LesaPamplin, you tell your Goddaughter to stand tall, be proud and continue to be BLACK!!! We are a brotherhood and sisterhood!  We have her back. This is not sports.  #striveforgreatness #morethanavollyballplayer 🤎🤎🤎✊🏾👑 https://t.co/kMveNLKp5h",23083404,0,train
Manti Te'o 🫡 you good brother!! 🙏🏾✊🏾👑,23083404,0,train
@CuffsTheLegend 🤣🤣🤣🤣🤣🤣🤣🤣🤣,23083404,0,train
ABSOLUTELY NOTHING LIKE IT!! https://t.co/NKGHi0v9Tp,23083404,0,train
@NBAHistory @kevinlove The pass is the best part of it all! On time and on target 🎯!!,23083404,0,train
HOV DID!!!,23083404,0,train
THE BEST NIGHTS!!! 🐺🐺🐺🐺🔥 https://t.co/WKENVkddyn,23083404,0,train
"I CAN NOT WAIT for y'all to see this one!! It's so fun, extremely hilarious and heart felt all wrapped in one!! Lots of surprises too. Coming soon to a theater near you! #HouseParty https://t.co/fCZvzh289t",23083404,0,train
Happy Gday Cocamo!! Heem Heem!! Love my brother!! @D19J  🙏🏾✊🏾👑 https://t.co/5Ld1ZaEtaf,23083404,0,train
@D19J FACTS!!!! Like a 💎,23083404,0,train
@CuffsTheLegend Can't wait for him to go off this season!! 🤫,23083404,0,train
